"TIME","GEO","SEX","UNIT","AGE","Value","Flag and Footnotes"
"2018","BE253","Insgesamt","Anzahl","Insgesamt","106.511",""
"2018","BE253","Männer","Anzahl","Insgesamt","53.293",""
"2018","BE253","Frauen","Anzahl","Insgesamt","53.218",""
"2018","BE254","Insgesamt","Anzahl","Insgesamt","289.349",""
"2018","BE254","Männer","Anzahl","Insgesamt","143.041",""
"2018","BE254","Frauen","Anzahl","Insgesamt","146.308",""
"2018","BE255","Insgesamt","Anzahl","Insgesamt","156.638",""
"2018","BE255","Männer","Anzahl","Insgesamt","77.387",""
"2018","BE255","Frauen","Anzahl","Insgesamt","79.251",""
"2018","BE256","Insgesamt","Anzahl","Insgesamt","151.962",""
"2018","BE256","Männer","Anzahl","Insgesamt","75.639",""
"2018","BE256","Frauen","Anzahl","Insgesamt","76.323",""
"2018","BE257","Insgesamt","Anzahl","Insgesamt","92.738",""
"2018","BE257","Männer","Anzahl","Insgesamt","46.606",""
"2018","BE257","Frauen","Anzahl","Insgesamt","46.132",""
"2018","BE258","Insgesamt","Anzahl","Insgesamt","61.587",""
"2018","BE258","Männer","Anzahl","Insgesamt","30.430",""
"2018","BE258","Frauen","Anzahl","Insgesamt","31.157",""
"2018","BE3","Insgesamt","Anzahl","Insgesamt","3.633.803",""
"2018","BE3","Männer","Anzahl","Insgesamt","1.776.927",""
"2018","BE3","Frauen","Anzahl","Insgesamt","1.856.876",""
"2018","BE31","Insgesamt","Anzahl","Insgesamt","401.508",""
"2018","BE31","Männer","Anzahl","Insgesamt","194.735",""
"2018","BE31","Frauen","Anzahl","Insgesamt","206.773",""
"2018","BE310","Insgesamt","Anzahl","Insgesamt","401.508",""
"2018","BE310","Männer","Anzahl","Insgesamt","194.735",""
"2018","BE310","Frauen","Anzahl","Insgesamt","206.773",""
"2018","BE32","Insgesamt","Anzahl","Insgesamt","1.343.756",""
"2018","BE32","Männer","Anzahl","Insgesamt","653.858",""
"2018","BE32","Frauen","Anzahl","Insgesamt","689.898",""
"2018","BE321","Insgesamt","Anzahl","Insgesamt","86.836",""
"2018","BE321","Männer","Anzahl","Insgesamt","42.415",""
"2018","BE321","Frauen","Anzahl","Insgesamt","44.421",""
"2018","BE322","Insgesamt","Anzahl","Insgesamt","431.398",""
"2018","BE322","Männer","Anzahl","Insgesamt","209.784",""
"2018","BE322","Frauen","Anzahl","Insgesamt","221.614",""
"2018","BE323","Insgesamt","Anzahl","Insgesamt","258.817",""
"2018","BE323","Männer","Anzahl","Insgesamt","124.865",""
"2018","BE323","Frauen","Anzahl","Insgesamt","133.952",""
"2018","BE324","Insgesamt","Anzahl","Insgesamt","76.276",""
"2018","BE324","Männer","Anzahl","Insgesamt","37.058",""
"2018","BE324","Frauen","Anzahl","Insgesamt","39.218",""
"2018","BE325","Insgesamt","Anzahl","Insgesamt","190.440",""
"2018","BE325","Männer","Anzahl","Insgesamt","92.701",""
"2018","BE325","Frauen","Anzahl","Insgesamt","97.739",""
"2018","BE326","Insgesamt","Anzahl","Insgesamt","152.284",""
"2018","BE326","Männer","Anzahl","Insgesamt","74.280",""
"2018","BE326","Frauen","Anzahl","Insgesamt","78.004",""
"2018","BE327","Insgesamt","Anzahl","Insgesamt","147.705",""
"2018","BE327","Männer","Anzahl","Insgesamt","72.755",""
"2018","BE327","Frauen","Anzahl","Insgesamt","74.950",""
"2018","BE33","Insgesamt","Anzahl","Insgesamt","1.108.371",""
"2018","BE33","Männer","Anzahl","Insgesamt","543.004",""
"2018","BE33","Frauen","Anzahl","Insgesamt","565.367",""
"2018","BE331","Insgesamt","Anzahl","Insgesamt","113.165",""
"2018","BE331","Männer","Anzahl","Insgesamt","55.698",""
"2018","BE331","Frauen","Anzahl","Insgesamt","57.467",""
